nome;link
Café Brasil 772 – ComunicaAgro – Live com Tejon;https://portalcafebrasil.com.br/podcasts/cafe-brasil-772-comunicaagro-live-com-tejon/
Café Brasil 771 – LíderCast Aurelio Alfieri;https://portalcafebrasil.com.br/podcasts/cafe-brasil-771-lidercast-aurelio-alfieri/
Café Brasil 770 – O Kit Para Detecção de Bobagens;https://portalcafebrasil.com.br/podcasts/cafe-brasil-770-o-kit-para-deteccao-de-bobagens/
Café Brasil 769 – Paulo Gustavo e as 48 horas;https://portalcafebrasil.com.br/podcasts/cafe-brasil-769-paulo-gustavo-e-as-48-horas/
Café Brasil 768 – A Expedição Franklin;https://portalcafebrasil.com.br/podcasts/cafe-brasil-768-a-expedicao-franklin/
Café Brasil 767 – Sexo bom – Revisitado;https://portalcafebrasil.com.br/podcasts/cafe-brasil-767-sexo-bom-revisitado/
Café Brasil 766 – LíderCast Ilona Becskeházy;https://portalcafebrasil.com.br/podcasts/cafe-brasil-766-lidercast-ilona-becskehazy/
Café Brasil 765 – Foxes and Fossils;https://portalcafebrasil.com.br/podcasts/cafe-brasil-765-foxes-and-fossils/
Café Brasil 764 – LíderCast Live – Gastronomia Viva;https://portalcafebrasil.com.br/podcasts/cafe-brasil-764-lidercast-live-gastronomia-viva/
Café Brasil 763 – A Agro é pop?;https://portalcafebrasil.com.br/podcasts/cafe-brasil-762-a-agro-e-pop/
Café Brasil 762 – LíderCast Alessandro Santana;https://portalcafebrasil.com.br/podcasts/cafe-brasil-762-lidercast-com-o-negao/
Café Brasil 761 – O viés nosso de cada dia;https://portalcafebrasil.com.br/podcasts/cafe-brasil-761-o-vies-nosso-de-cada-dia/
Café Brasil 760 – Carl Sagan e o dragão na garagem;https://portalcafebrasil.com.br/podcasts/cafe-brasil-760-carl-sagan-e-o-dragao-na-garagem/
Café Brasil 759 – Karl Popper e os negacionistas;https://portalcafebrasil.com.br/podcasts/cafe-brasil-759-karl-popper-e-os-negacionistas/
Café Brasil 758 – LíderCast César Menotti;https://portalcafebrasil.com.br/podcasts/cafe-brasil-758-lidercast-cesar-menotti/
Café Brasil 757 – O dono da firma;https://portalcafebrasil.com.br/podcasts/cafe-brasil-757-o-dono-da-firma/
Café Brasil 756 – Netiqueta e as mulas digitais;https://portalcafebrasil.com.br/sem-categoria/cafe-brasil-756-netiqueta-e-as-mulas-digitais/
Café Brasil 755 – Alfabestismo digital;https://portalcafebrasil.com.br/podcasts/cafe-brasil-755-alfabestismo-digital/
Café Brasil 754 – LíderCast Amyr Klink;https://portalcafebrasil.com.br/podcasts/cafe-brasil-754-lidercast-amyr-klink/
Café Brasil 753 – A sala dos professores;https://portalcafebrasil.com.br/podcasts/cafe-brasil-753-a-sala-dos-professores/
Café Brasil 752 – Jam Session;https://portalcafebrasil.com.br/podcasts/cafe-brasil-752-jam-session/
Café Brasil 751 – A hipocrisia nossa de cada dia;https://portalcafebrasil.com.br/podcasts/cafe-brasil-751-a-hipocrisia-nossa-de-cada-dia/
Café Brasil 750 – The Rocket Man;https://portalcafebrasil.com.br/podcasts/cafe-brasil-750-the-rocket-man/
Café Brasil 749 – Mais atrai mais.;https://portalcafebrasil.com.br/podcasts/cafe-brasil-749-mais-atrai-mais/
Café Brasil 748 – Paciência;https://portalcafebrasil.com.br/podcasts/cafe-brasil-748-paciencia/
Café Brasil 747 – O vírus – Com Alessandro Loiola;https://portalcafebrasil.com.br/podcasts/cafe-brasil-747-o-virus-com-alessandro-loiola/
Café Brasil 746 – O viés;https://portalcafebrasil.com.br/podcasts/cafe-brasil-746-o-vies/
